Ctrl_Mock_R1_Cell	Ctrl_Mock_R2_Cell	Ctrl_48hpi_R1_Cell	Brf1_Mock_R1_Cell	Brf1_Mock_R2_Cell	Brf1_48hpi_R1_Cell	Brf1_48hpi_R2_Cell	Ctrl_48hpi_R2_Cell
ENSMUSG00000001016.12	100	95	89	39	53	57	77	34
ENSMUSG00000001017.15	308	252	208	227	237	97	113	73
ENSMUSG00000001018.15	237	352	223	125	185	107	127	56
ENSMUSG00000001020.8	75	58	89	12	21	21	27	69
ENSMUSG00000001020.8_ENSMUSG00000105518.1	19	11	46	10	17	22	19	95
ENSMUSG00000001025.8	32	23	40	7	16	27	22	39
ENSMUSG00000001029.15	2	12	4	4	3	8	11	3
ENSMUSG00000001034.17	104	77	76	131	104	49	57	43
ENSMUSG00000001036.17	24	16	8	16	15	13	8	12
ENSMUSG00000001039.12	0	0	0	7	0	1	2	0
ENSMUSG00000001052.15	387	238	241	647	386	237	254	188
ENSMUSG00000001053.15	44	40	36	30	24	28	32	22
ENSMUSG00000001053.15_ENSMUSG00000001054.9	1	1	0	0	0	0	0	0
ENSMUSG00000001054.9	182	213	141	113	127	115	126	67
ENSMUSG00000001056.3	12	17	15	7	9	24	11	7
ENSMUSG00000001062.18	72	71	54	96	72	23	36	37
ENSMUSG00000001065.15	104	73	110	94	96	58	62	55
ENSMUSG00000001082.12	153	185	117	108	110	97	104	69
ENSMUSG00000001089.14	63	68	58	75	47	61	48	28
ENSMUSG00000001095.5	3	1	2	1	1	1	3	0
ENSMUSG00000001098.15	762	533	347	489	463	252	225	169
ENSMUSG00000001100.10	215	220	152	130	154	143	159	89
ENSMUSG00000001105.15	22	42	43	8	11	17	17	9
ENSMUSG00000001120.15	36	20	22	17	24	11	25	7
ENSMUSG00000001123.15	355	608	475	110	158	373	399	178
ENSMUSG00000001127.12	294	271	201	192	197	95	149	100
ENSMUSG00000001128.7	1901	3232	2268	947	1234	2818	2642	850
ENSMUSG00000001131.11	0	0	1	0	0	3	1	0
ENSMUSG00000001134.9	6	5	5	2	2	1	3	2
ENSMUSG00000001138.13	22	17	15	19	12	4	8	4
ENSMUSG00000001143.13	140	122	101	104	104	103	75	46
ENSMUSG00000001150.7	141	124	65	276	142	58	66	85
ENSMUSG00000001151.10	153	132	113	346	170	105	107	110
ENSMUSG00000001156.9	612	421	484	291	230	603	612	298
ENSMUSG00000001156.9_ENSMUSG00000001158.13	2	1	0	0	3	1	0	0
ENSMUSG00000001156.9_ENSMUSG00000108291.1	5	7	9	11	9	2	6	2
ENSMUSG00000001157.13	177	177	102	162	137	70	51	52
ENSMUSG00000001157.13_ENSMUSG00000108197.1	0	0	0	0	0	2	0	0
ENSMUSG00000001158.13	9	12	15	8	8	12	6	4
ENSMUSG00000001166.17	59	53	62	27	21	35	45	19
ENSMUSG00000001173.15	78	75	64	127	82	37	44	46
ENSMUSG00000001175.15	1045	1103	1181	427	570	653	654	352
ENSMUSG00000001211.15	83	76	48	88	77	58	65	30
ENSMUSG00000001227.12	4	16	18	27	17	9	14	10
ENSMUSG00000001228.14	673	435	495	602	498	298	306	382
ENSMUSG00000001229.9	368	256	224	404	258	134	139	171
ENSMUSG00000001240.13	1	1	2	0	1	0	4	3
ENSMUSG00000001247.16	151	141	432	79	80	244	241	196
ENSMUSG00000001248.15	611	444	492	383	311	606	657	264
ENSMUSG00000001249.14	5	2	2	3	8	5	2	3
ENSMUSG00000001270.9	2641	4271	3056	1363	1537	3240	3435	1741
ENSMUSG00000001280.13	25	11	8	37	34	10	12	8
ENSMUSG00000001281.10	501	355	565	182	176	252	299	334
ENSMUSG00000001285.12	15	32	27	14	13	20	19	10
ENSMUSG00000001288.15	26	25	12	39	22	26	36	17
ENSMUSG00000001289.12	6	11	8	3	6	17	9	5
ENSMUSG00000001305.5	21	32	38	10	16	15	14	7
ENSMUSG00000001313.12	3	3	2	0	0	1	0	1
ENSMUSG00000001323.17	87	65	44	76	77	30	36	23
ENSMUSG00000001333.9	0	0	0	0	0	0	2	0
ENSMUSG00000001348.15	6	15	26	5	4	100	115	4
ENSMUSG00000001349.5	0	0	0	2	0	0	0	0
ENSMUSG00000001366.14	134	119	107	64	68	41	58	32
ENSMUSG00000001376.17	356	257	240	326	312	120	99	105
ENSMUSG00000001380.7	367	325	279	141	173	124	162	83
ENSMUSG00000001380.7_ENSMUSG00000044595.10	2	0	0	1	0	0	0	0
ENSMUSG00000001383.9	46	91	80	21	26	35	52	21
ENSMUSG00000001403.13	16	38	27	7	10	25	20	17
ENSMUSG00000001415.10	88	64	60	168	104	42	55	59
ENSMUSG00000001416.13	604	604	519	332	364	308	390	201
ENSMUSG00000001418.13	681	1095	548	407	414	639	625	241
ENSMUSG00000001419.17	41	43	24	64	52	24	24	26
ENSMUSG00000001420.13	1	8	6	1	0	0	1	4
ENSMUSG00000001424.14	940	554	428	864	778	381	323	440
ENSMUSG00000001435.15	487	330	224	642	380	482	386	256
ENSMUSG00000001436.15	63	36	26	39	45	32	30	16
ENSMUSG00000001440.5	467	369	345	646	442	238	237	280
ENSMUSG00000001441.13	211	201	200	303	249	161	190	111
ENSMUSG00000001445.10	118	169	113	58	91	79	100	29
ENSMUSG00000001467.5	806	580	139	164	152	51	37	34
ENSMUSG00000001472.17	954	727	584	627	575	347	381	287
ENSMUSG00000001473.7	826	1120	794	468	491	605	696	274
ENSMUSG00000001482.15	198	128	605	168	132	546	550	541
ENSMUSG00000001508.15	0	0	0	3	0	0	0	0
ENSMUSG00000001517.14	78	41	39	55	52	26	21	47
ENSMUSG00000001517.14_ENSMUSG00000108176.1	0	0	2	4	1	0	0	0
ENSMUSG00000001518.12	71	61	36	44	38	22	19	12
ENSMUSG00000001521.12	42	17	17	42	46	21	20	20
ENSMUSG00000001524.14	23	49	27	19	21	24	22	15
ENSMUSG00000001525.10	1330	1566	1465	1107	936	902	1133	820
ENSMUSG00000001542.7	706	660	696	756	553	482	384	199
ENSMUSG00000001552.14	62	45	24	70	40	29	21	28
ENSMUSG00000001558.5	1	1	0	0	0	0	0	0
ENSMUSG00000001569.10	233	186	216	200	194	116	121	93
ENSMUSG00000001576.15	839	696	577	671	580	526	469	282
ENSMUSG00000001588.12	36	28	40	30	18	12	18	32
ENSMUSG00000001604.14	2	4	2	0	0	0	0	1
ENSMUSG00000001627.12	1979	1879	1436	287	374	944	1146	312
ENSMUSG00000001627.12_ENSMUSG00000090582.1	0	6	5	6	3	0	0	0
ENSMUSG00000001630.13	199	170	192	128	78	100	99	69
ENSMUSG00000001632.16	158	162	209	320	132	244	166	118
ENSMUSG00000001642.18	218	474	279	110	131	276	271	99
ENSMUSG00000001663.10	2	0	15	0	1	11	6	5
ENSMUSG00000001665.11	69	122	109	39	44	65	69	50
ENSMUSG00000001666.8	4	4	8	2	1	3	8	1
ENSMUSG00000001674.11	207	162	159	118	163	93	104	53
ENSMUSG00000001687.15	2999	2788	2465	1892	1703	1382	1224	742
ENSMUSG00000001700.10	68	56	42	76	83	57	65	15
ENSMUSG00000001707.8	32	45	43	7	13	35	32	16
ENSMUSG00000001729.14	79	65	62	81	73	26	23	17
ENSMUSG00000001741.12	140	115	71	196	161	47	49	40
ENSMUSG00000001750.16	2555	2098	1850	2331	1972	1013	1144	1311
ENSMUSG00000001751.9	868	696	472	762	689	535	527	312
ENSMUSG00000001755.12	131	118	63	75	88	50	60	35
ENSMUSG00000001763.14	0	0	5	0	0	5	0	1
ENSMUSG00000001767.5	210	210	180	132	155	105	122	53
ENSMUSG00000001768.16	732	499	347	894	651	195	160	243
ENSMUSG00000001774.8	289	228	208	221	189	100	89	71
ENSMUSG00000001783.3	330	384	283	201	210	241	222	99
ENSMUSG00000001785.13	232	199	186	145	174	145	150	61
ENSMUSG00000001786.14	115	116	93	56	69	80	75	37
ENSMUSG00000001794.13	304	1048	693	268	217	991	588	180
ENSMUSG00000001815.15	0	0	0	2	0	1	0	0
ENSMUSG00000001827.12	2	2	9	1	1	1	5	1
ENSMUSG00000001829.17	84	71	55	71	67	51	61	35
ENSMUSG00000001833.17	1845	1266	1287	696	842	449	464	248
ENSMUSG00000001844.10	61	136	94	33	45	64	56	26
ENSMUSG00000001847.14	3167	2532	1883	2300	2428	1020	1362	876
ENSMUSG00000001855.15	147	123	74	296	172	141	96	121
ENSMUSG00000001864.13	1	0	1	0	0	0	1	0
ENSMUSG00000001891.16	426	347	294	264	238	137	156	72
ENSMUSG00000001909.16	101	93	92	75	80	50	47	37
ENSMUSG00000001910.5	84	39	35	111	77	29	32	37
ENSMUSG00000001911.16	1	0	0	0	0	1	0	0
ENSMUSG00000001918.17	404	326	284	240	236	128	111	110
ENSMUSG00000001924.15	1728	954	767	1685	1275	638	581	643
ENSMUSG00000001930.17	45	29	14	93	64	13	18	13
ENSMUSG00000001942.8	269	185	208	274	181	148	153	84
ENSMUSG00000001962.8	144	263	184	99	103	221	209	62
ENSMUSG00000001964.14	53	78	47	16	32	55	43	16
ENSMUSG00000001964.14_ENSMUSG00000081375.1	1	0	0	2	1	0	2	2
ENSMUSG00000001983.7	11	16	13	22	14	10	14	1
ENSMUSG00000001986.16	0	1	2	0	0	1	0	0
ENSMUSG00000001995.9	20	36	54	49	21	77	27	30
ENSMUSG00000001998.15	34	46	43	51	29	27	31	19
ENSMUSG00000001999.15	88	198	116	61	66	83	81	46
ENSMUSG00000002007.5	7	3	5	4	2	7	6	2
ENSMUSG00000002010.17	87	156	90	54	54	119	111	54
ENSMUSG00000002014.12	14	11	15	4	3	15	12	11
ENSMUSG00000002015.5	83	182	105	57	73	149	135	33
ENSMUSG00000002017.10	137	90	103	95	92	70	57	44
ENSMUSG00000002020.15	0	0	3	5	2	2	1	2
ENSMUSG00000002028.13	12	13	10	28	17	5	1	6
ENSMUSG00000002031.13	34	57	30	16	18	30	27	17
ENSMUSG00000002032.17	13	11	9	6	14	5	6	3
ENSMUSG00000002043.17	14	13	15	3	5	20	15	11
ENSMUSG00000002052.6	314	274	187	623	390	255	232	238
ENSMUSG00000002055.9	113	86	100	94	67	47	52	54
ENSMUSG00000002058.13	4	13	44	1	2	54	11	1
ENSMUSG00000002059.18	40	82	51	16	13	44	38	17
ENSMUSG00000002064.10	46	95	67	20	29	84	51	18
ENSMUSG00000002068.16	49	59	83	25	32	47	51	27
ENSMUSG00000002076.12	1	1	2	1	0	1	3	0
ENSMUSG00000002083.13	121	194	119	85	82	202	158	41
ENSMUSG00000002102.15	266	378	243	101	103	248	225	109
ENSMUSG00000002103.16	638	540	532	806	614	511	501	290
ENSMUSG00000002104.11	0	4	0	1	0	1	1	1
ENSMUSG00000002105.15	142	138	86	89	84	118	130	37
ENSMUSG00000002107.18	755	797	1010	750	782	435	543	294
ENSMUSG00000002108.10	48	66	70	23	31	204	201	23
ENSMUSG00000002109.14	17	20	9	6	14	3	7	4
ENSMUSG00000002111.8	634	1104	574	315	367	916	707	234
ENSMUSG00000002129.11	275	189	157	228	256	160	160	122
ENSMUSG00000002147.18	1350	871	672	1343	1044	606	599	573
ENSMUSG00000002204.9	80	146	111	32	56	100	89	53
ENSMUSG00000002205.16	97	105	89	73	91	67	67	27
ENSMUSG00000002210.11	134	111	101	112	123	70	91	51
ENSMUSG00000002210.11_ENSMUSG00000054342.8	1	0	0	1	0	0	0	0
ENSMUSG00000002221.11	94	96	122	114	66	55	32	50
ENSMUSG00000002222.14	56	44	50	109	54	27	33	28
ENSMUSG00000002227.15	509	313	431	404	285	381	363	508
ENSMUSG00000002228.7	22	32	31	18	6	16	18	9
ENSMUSG00000002233.13	38	63	28	33	25	106	67	31
ENSMUSG00000002250.16	85	48	36	59	54	55	52	35
ENSMUSG00000002257.8	475	398	415	293	300	263	288	194
ENSMUSG00000002274.13	2	17	19	3	2	19	3	2
ENSMUSG00000002279.19	89	85	56	52	48	62	64	31
ENSMUSG00000002280.11	225	222	169	137	162	124	126	72
ENSMUSG00000002289.16	12	11	18	9	12	19	11	6
ENSMUSG00000002297.16	51	55	55	37	37	25	22	11
ENSMUSG00000002307.16	643	497	487	290	330	241	257	235
ENSMUSG00000002308.16	10	9	9	5	2	2	4	1
ENSMUSG00000002319.16	209	106	119	208	148	111	122	100
ENSMUSG00000002320.15	909	759	525	727	610	355	475	341
ENSMUSG00000002320.15_ENSMUSG00000002319.16	1	0	2	1	0	0	1	0
ENSMUSG00000002325.15	450	399	407	240	244	295	327	154
ENSMUSG00000002326.6	178	296	194	75	95	99	115	57
ENSMUSG00000002326.6_ENSMUSG00000115154.1	3	1	0	1	1	0	0	0
ENSMUSG00000002329.7	53	61	57	32	39	29	39	20
ENSMUSG00000002332.16	129	201	84	45	66	97	101	35
ENSMUSG00000002342.17	180	189	147	114	96	106	116	73
ENSMUSG00000002343.11	25	44	26	31	22	17	16	8
ENSMUSG00000002345.18	81	58	36	47	45	45	46	20
ENSMUSG00000002346.16	12	11	8	10	11	8	4	7
ENSMUSG00000002365.10	341	372	351	380	312	215	159	100
ENSMUSG00000002372.9	454	382	386	314	322	314	315	159
ENSMUSG00000002379.7	4	9	8	8	6	11	4	8
ENSMUSG00000002393.14	14	17	10	12	9	11	5	7
ENSMUSG00000002395.14	36	48	42	11	13	39	32	23
ENSMUSG00000002396.8	20	23	11	15	14	7	7	6
ENSMUSG00000002409.18	27	10	15	22	22	18	12	9
ENSMUSG00000002413.15	1	0	5	6	1	1	0	3
ENSMUSG00000002416.13	8	5	16	5	4	6	5	4
ENSMUSG00000002428.12	223	140	162	278	148	67	69	57
ENSMUSG00000002455.14	297	194	131	261	238	139	143	102
ENSMUSG00000002458.13	162	211	169	88	99	108	105	34
ENSMUSG00000002475.16	20	19	14	10	6	8	7	9
ENSMUSG00000002477.5	9	10	15	2	0	8	13	14
ENSMUSG00000002486.15	20	17	14	10	25	10	14	10
ENSMUSG00000002489.16	114	120	117	195	109	115	127	147
ENSMUSG00000002496.10	307	256	110	564	318	140	130	172
ENSMUSG00000002504.15	4	4	0	1	1	3	3	0
ENSMUSG00000002524.17	639	671	561	356	414	490	528	241
ENSMUSG00000002546.16	230	172	97	295	245	107	121	135
ENSMUSG00000002550.16	105	107	90	67	96	79	79	38
ENSMUSG00000002580.7	7	9	11	3	0	7	8	1
ENSMUSG00000002602.16	644	382	366	900	672	261	236	404
ENSMUSG00000002603.15	344	531	565	657	416	497	354	230
ENSMUSG00000002608.8	240	152	145	232	183	146	140	117
ENSMUSG00000002617.14	20	7	20	12	12	4	2	6
ENSMUSG00000002625.10	177	162	137	154	156	74	84	58
ENSMUSG00000002635.11	29	50	36	4	21	46	41	18
ENSMUSG00000002658.9	224	262	242	123	142	158	214	93
ENSMUSG00000002660.8	7	12	7	5	1	16	12	3
ENSMUSG00000002661.14	3	0	4	0	2	5	0	0
ENSMUSG00000002668.8	306	242	306	253	259	153	132	142
ENSMUSG00000002679.14	20	32	32	10	10	24	16	12
ENSMUSG00000002699.13	436	373	333	263	263	387	466	131
ENSMUSG00000002718.14	559	430	381	572	452	206	193	207
ENSMUSG00000002728.14	106	213	76	93	110	72	59	53
ENSMUSG00000002731.6	34	62	23	16	25	11	18	14
ENSMUSG00000002732.14	1	3	4	0	3	0	0	0
ENSMUSG00000002733.8	8	7	5	3	4	3	3	4
ENSMUSG00000002741.9	1003	721	526	620	568	338	402	210
ENSMUSG00000002748.7	153	172	184	257	168	106	108	113
ENSMUSG00000002763.16	11	64	99	84	16	72	29	23
ENSMUSG00000002767.13	7	21	10	5	7	21	17	3
ENSMUSG00000002768.8	10	25	19	0	7	17	17	6
ENSMUSG00000002771.12	1	0	2	1	0	1	1	1
ENSMUSG00000002778.14	171	210	117	91	93	96	116	52
ENSMUSG00000002781.19	56	55	62	49	61	54	55	20
ENSMUSG00000002797.9	2	2	7	2	1	6	2	5
ENSMUSG00000002799.6	8	2	7	8	2	3	4	4
ENSMUSG00000002803.14	87	77	64	44	63	47	62	25
ENSMUSG00000002804.4	10	5	9	11	10	6	3	3
ENSMUSG00000002808.7	52	35	36	15	27	11	17	14
ENSMUSG00000002812.4	1443	927	794	2012	1382	900	992	1014
ENSMUSG00000002814.15	118	77	81	143	94	84	70	79
ENSMUSG00000002820.6	58	56	66	53	54	40	58	26
ENSMUSG00000002825.8	4	12	11	5	7	17	12	4
ENSMUSG00000002833.11	263	225	202	152	162	120	141	89
ENSMUSG00000002835.9	147	101	134	139	111	77	94	92
ENSMUSG00000002844.9	227	348	189	122	172	188	203	71
ENSMUSG00000002845.14	30	31	26	27	21	43	62	14
ENSMUSG00000002846.9	18	20	20	8	14	14	26	11
ENSMUSG00000002870.8	469	303	331	417	354	253	237	252
ENSMUSG00000002871.14	248	334	159	144	210	250	261	58
ENSMUSG00000002881.14	44	36	40	32	30	21	12	9
ENSMUSG00000002885.14	279	165	156	213	227	229	233	100
ENSMUSG00000002897.5	674	420	401	223	183	788	683	195
ENSMUSG00000002908.17	4	1	0	1	1	0	0	0
ENSMUSG00000002910.11	28	30	25	21	19	48	52	7
ENSMUSG00000002944.15	3887	3118	2694	6455	6167	2551	2823	746
ENSMUSG00000002948.19	258	178	197	264	182	164	134	106
ENSMUSG00000002949.15	132	138	106	69	79	49	56	36
ENSMUSG00000002957.11	1383	906	681	2220	1411	470	494	695
ENSMUSG00000002963.17	121	174	160	93	108	126	129	60
ENSMUSG00000002968.9	330	257	176	255	250	191	168	92
ENSMUSG00000002980.14	4	2	7	1	1	2	3	3
ENSMUSG00000002981.10	1101	862	799	871	783	795	661	394
ENSMUSG00000002983.17	333	313	281	204	216	375	351	119
ENSMUSG00000002984.17	190	359	251	105	118	219	211	98
ENSMUSG00000002985.16	408	830	360	476	676	1133	751	274
ENSMUSG00000002985.16_ENSMUSG00000002984.17	1	1	0	2	3	0	0	0
ENSMUSG00000002992.17	5	8	3	6	5	4	1	2
ENSMUSG00000002996.17	825	722	600	575	588	597	673	210
ENSMUSG00000002997.15	58	62	87	74	65	46	36	38
ENSMUSG00000003031.14	7	6	4	11	4	3	8	7
ENSMUSG00000003032.8	92	163	335	48	37	123	53	35
ENSMUSG00000003033.15	441	377	320	253	272	215	221	118
ENSMUSG00000003037.16	700	698	539	360	418	491	520	183
ENSMUSG00000003037.16_ENSMUSG00000031799.10	2	0	2	1	1	0	1	0
ENSMUSG00000003038.15	315	579	611	169	226	348	386	170
ENSMUSG00000003038.15_ENSMUSG00000012117.13	3	0	2	0	4	0	0	0
ENSMUSG00000003039.9	281	430	262	170	187	208	221	94
ENSMUSG00000003062.13	284	493	282	131	188	206	209	87
ENSMUSG00000003068.16	948	730	615	659	624	441	366	333
ENSMUSG00000003070.6	4	6	13	0	0	17	15	8
ENSMUSG00000003072.15	67	82	63	15	31	72	51	38
ENSMUSG00000003099.11	352	338	281	217	256	142	167	117
ENSMUSG00000003119.14	46	47	62	98	51	58	49	28
ENSMUSG00000003123.15	132	80	57	97	89	51	59	47
ENSMUSG00000003131.7	681	615	449	758	617	385	319	291
ENSMUSG00000003134.10	190	96	76	209	178	86	67	92
ENSMUSG00000003135.15	16	60	92	40	14	67	29	7
ENSMUSG00000003153.10	110	83	35	139	115	23	12	30
ENSMUSG00000003154.15	27	23	17	75	37	20	14	12
ENSMUSG00000003161.15	210	163	116	105	139	60	67	34
ENSMUSG00000003166.20	250	190	96	333	227	96	102	143
ENSMUSG00000003184.15	64	100	74	44	45	67	66	25
ENSMUSG00000003190.12	8	9	7	3	9	11	4	3
ENSMUSG00000003198.10	16	7	18	8	12	7	7	4
ENSMUSG00000003199.16	10	33	35	4	2	53	19	1
ENSMUSG00000003200.10	574	538	319	368	370	201	242	139
ENSMUSG00000003206.7	43	64	64	14	37	127	91	28
ENSMUSG00000003208.9	22	35	21	15	10	32	30	7
ENSMUSG00000003226.7	101	106	174	231	120	59	64	67
ENSMUSG00000003228.9	17	10	7	19	21	15	9	3
ENSMUSG00000003233.12	18	22	18	49	23	16	10	16
ENSMUSG00000003234.16	313	228	201	234	260	190	197	100
ENSMUSG00000003235.13	243	186	174	192	158	161	116	82
ENSMUSG00000003269.17	126	167	116	53	79	83	101	48
ENSMUSG00000003273.14	2	3	0	1	0	2	0	0
ENSMUSG00000003279.17	1	0	1	1	0	0	0	0
ENSMUSG00000003282.9	1	1	2	0	0	0	0	1
ENSMUSG00000003283.14	1153	1134	1251	622	623	872	984	504
ENSMUSG00000003299.10	43	88	72	24	29	111	64	26
ENSMUSG00000003308.15	413	368	398	272	264	288	301	171
ENSMUSG00000003316.14	365	542	922	878	423	827	429	248
ENSMUSG00000003344.14	6	13	30	5	3	41	6	3
ENSMUSG00000003345.16	8	12	4	10	9	6	5	5
ENSMUSG00000003346.14	2	8	13	0	3	14	6	0
ENSMUSG00000003348.10	666	425	292	439	380	220	223	168
ENSMUSG00000003352.14	1	0	0	0	1	4	1	0
ENSMUSG00000003354.6	0	0	1	1	1	0	1	1
ENSMUSG00000003355.7	0	0	0	2	0	0	0	0
ENSMUSG00000003360.15	47	41	32	52	42	16	13	20
ENSMUSG00000003363.15	1673	1706	856	1118	1317	982	1049	469
